case_folder,mode_id,n,runtime_median_sec,runtime_mean_sec,opt_rate,time_limit_rate,mip_gap_mean,root_constraints_mean,final_constraints_mean,realized_cont_mean,lazy_added_mean
matpower/case1354pegase,ACTIVESET_LAZY,8,916.7055,916.7055,0.25,0.0,0.044987465000000004,366264.0,366264.0,,775670.0
matpower/case1354pegase,LAZY_ALL,12,1154.1165,1846.8065,0.3333333333333333,0.16666666666666666,0.33509645,366264.0,366264.0,,2561795.8333333335
matpower/case1354pegase,SHRINK_LAZY,8,325.5651275,325.5651275,0.25,0.0,0.046379544999999994,81416.0,81416.0,,0.0
matpower/case1354pegase,STREDUCE_LAZY,8,,,0.0,0.0,,,,,
matpower/case1354pegase,WARM_LAZY,12,2654.193,2411.0312,0.25,0.16666666666666666,0.392735244,366264.0,366264.0,,3212738.8
matpower/case1354pegase,WARM_SR_LAZY,12,3602.938,3602.9585,0.0,0.3333333333333333,,9245412.0,9245412.0,8879148.0,0.0
matpower/case300,ACTIVESET_LAZY,6,26.383499999999998,28.722166666666666,1.0,0.0,0.00982401,71784.0,72884.5,,25946.666666666668
matpower/case300,LAZY_ALL,6,26.7775,28.113,1.0,0.0,0.011136196666666667,71784.0,71784.0,,8264.0
matpower/case300,SHRINK_LAZY,6,26.511065000000002,25.485826833333334,1.0,0.0,0.028056178333333334,15959.166666666666,15959.166666666666,,0.0
matpower/case300,STREDUCE_LAZY,6,14.872,15.442,1.0,0.0,0.011383646666666665,126802.0,126802.0,59553.5,6273.5
matpower/case300,WARM_LAZY,6,22.7545,23.191166666666664,1.0,0.0,0.017359858333333335,71784.0,71784.0,,7906.0
matpower/case300,WARM_SR_LAZY,6,433.175,513.8919999999999,1.0,0.0,0.015297846666666665,3385032.0,3385032.0,3315459.6666666665,2211.6666666666665
