case_folder,mode,n,p_value,median_runtime_gain_sec
matpower/case118,WARM+PRUNE-0.10,49,3.552713678800501e-15,36.348000049591064
matpower/case14,WARM+PRUNE-0.10,52,7.728395289804746e-09,0.01599991321563725
matpower/case30,WARM+PRUNE-0.10,53,2.506159476604249e-08,0.0349998474121094
matpower/case300,WARM+PRUNE-0.10,59,2.3900953516978203e-11,181.36699986457825
matpower/case57,WARM+PRUNE-0.10,60,1.6285331829622064e-11,0.5214998722076416
matpower/case89pegase,WARM+PRUNE-0.10,54,1.6256984569330967e-10,11.29699993133545
matpower/case118,WARM+LAZY,49,3.552713678800501e-15,36.50699973106384
matpower/case14,WARM+LAZY,52,3.501668345141214e-10,0.02699995040893555
matpower/case30,WARM+LAZY,53,2.830093677576519e-10,0.06599998474121099
matpower/case300,WARM+LAZY,59,2.3900953516978203e-11,185.42199993133545
matpower/case57,WARM+LAZY,60,1.6293000864348577e-11,0.5329998731613159
matpower/case89pegase,WARM+LAZY,54,1.6256984569330967e-10,10.83050000667572
matpower/case118,WARM+LAZY+BANDIT,49,3.552713678800501e-15,36.545000076293945
matpower/case14,WARM+LAZY+BANDIT,52,3.501668345141214e-10,0.030499935150146495
matpower/case30,WARM+LAZY+BANDIT,53,2.5258843984333e-10,0.0660002231597901
matpower/case300,WARM+LAZY+BANDIT,59,2.3900953516978203e-11,185.48799991607666
matpower/case57,WARM+LAZY+BANDIT,60,1.6295557943119345e-11,0.5384998321533203
matpower/case89pegase,WARM+LAZY+BANDIT,54,1.6256984569330967e-10,10.81849992275238
