mode,mean_speedup,n_cases,final_constraints_pct,explicit_removed_pct,lazy_added_mean
RAW,1.0,6,100.0,,
RAW+COMMIT,1.044893077879277,6,100.0,,
RAW+GNN,1.078062500351707,6,99.66870919992299,,
WARM,1.1390003305091103,6,100.0,,
WARM+HINTS,1.1340541002024251,6,100.0,,
WARM+HINTS+COMMIT,1.14011951617411,6,100.0,,
WARM+HINTS+COMMIT+GRU,1.0278050684516817,6,100.0,,
WARM+HINTS+GRU,1.0252790897637947,6,100.0,,
WARM+LAZY,8.590397830137299,6,4.978517505698721,,9862.880952380952
WARM+LAZY+BANDIT,8.614709779776401,6,4.978517505698721,,720.952380952381
WARM+LAZY+COMMIT,8.59362496036137,6,4.978517505698721,,7896.633333333333
WARM+LAZY+GRU,8.213334612109252,6,4.978517505698721,,12443.733333333334
WARM+PRUNE-0.10,9.643985517197217,6,5.0270851233173595,0.9995069863475835,
WARM+PRUNE-0.10+GNN,9.584479983821792,6,5.027069793587126,0.9995069863475835,
WARM+PRUNE-0.20,8.6847194416605,6,5.0932132227252715,0.9988085835942374,
WARM+PRUNE-0.20+GNN,8.632062355602704,6,5.093197892995038,0.9988085835942374,
WARM+PRUNE-0.30,6.956630728496769,6,5.432590748592353,0.995310430206657,
WARM+PRUNE-0.30+GNN,6.904809727241395,6,5.432468110750484,0.9953117907508747,
WARM+PRUNE-0.50,3.5615481906559183,6,7.851666175172582,0.9700422871082375,
WARM+PRUNE-0.50+GNN,3.607078431629981,6,7.836305785478577,0.9702001102374892,
WARM+PRUNE-0.80,2.3904772822014064,6,22.453858966741077,0.818775340019719,
WARM+PRUNE-0.80+GNN,2.4167821699232523,6,22.375386077675586,0.819581122332644,
WARM+LAZY+K64,7.792264941333241,3,,,
WARM+LAZY+K128,8.062362908300708,6,4.978517505698721,,2323.3
WARM+LAZY+K256,12.987171352780113,2,,,
GRBTUNE,0.9995453165956887,3,,,
