case_short,base_mode,speedup_1nn,speedup_gnn,speedup_ratio_gnn_over_1nn,kept_1nn,kept_gnn,kept_delta
case118,WARM+PRUNE-0.10,8.218067099341399,8.16908980779551,0.9940402906238361,0.0006489795918367,0.0006489795918367,0.0
case14,WARM+PRUNE-0.10,1.3419715356886146,1.273904959133787,0.9492786733960791,0.0,0.0,0.0
case30,WARM+PRUNE-0.10,1.4134122963959987,1.4169075013602737,1.0024728842201156,0.0,0.0,0.0
case300,WARM+PRUNE-0.10,12.719818490612724,12.71229562420485,0.9994085712454603,0.0021016949152542,0.0021016949152542,0.0
case57,WARM+PRUNE-0.10,8.340578069540044,8.182332570181334,0.9810270345725045,0.0,0.0,0.0
case89pegase,WARM+PRUNE-0.10,25.83006561160453,25.752349440255,0.9969912514928101,0.0002074074074074,0.0002074074074074,0.0
case118,WARM+PRUNE-0.20,8.078711934834098,8.05206883167191,0.996702060504558,0.0009775510204081,0.0009775510204081,0.0
case14,WARM+PRUNE-0.20,1.3342862885680775,1.3353227409800932,1.0007767841286355,0.0013384615384615,0.0013384615384615,0.0
case30,WARM+PRUNE-0.20,1.4105481208163697,1.4681676531221013,1.0408490369491143,0.0,0.0,0.0
case300,WARM+PRUNE-0.20,11.450339478187953,11.40001826122745,0.995605264188336,0.0032491525423728,0.0032491525423728,0.0
case57,WARM+PRUNE-0.20,8.32156786468543,8.3605749237798,1.0046874651181907,0.0,0.0,0.0
case89pegase,WARM+PRUNE-0.20,21.51286296287107,21.176221722834864,0.9843516299705338,0.0015833333333333,0.0015833333333333,0.0
case118,WARM+PRUNE-0.30,7.369869053348859,7.312042374549451,0.9921536355149849,0.0025469387755102,0.002538775510204,-8.163265306199586e-06
case14,WARM+PRUNE-0.30,1.327950279549893,1.3404638065537016,1.009423189404388,0.0035692307692307,0.0035692307692307,0.0
case30,WARM+PRUNE-0.30,1.411102733815758,1.429562974877377,1.0130821382591335,0.0,0.0,0.0
case300,WARM+PRUNE-0.30,6.914553878088603,6.870367596100427,0.9936096698692019,0.0180305084745762,0.0180305084745762,0.0
case57,WARM+PRUNE-0.30,8.50122480790077,8.298084247868333,0.9761045537998659,0.0,0.0,0.0
case89pegase,WARM+PRUNE-0.30,16.215083618276733,16.178337363499082,0.9977338226775326,0.0039907407407407,0.0039907407407407,0.0
case118,WARM+PRUNE-0.50,3.077307481972053,3.288613361263389,1.068665832234588,0.0256204081632653,0.0246734693877551,-0.0009469387755102025
case14,WARM+PRUNE-0.50,1.2660385040289943,1.2981263155816534,1.0253450518689156,0.0336442307692307,0.0336442307692307,0.0
case30,WARM+PRUNE-0.50,1.440680592404069,1.4391350916854526,0.998927242633263,0.0,0.0,0.0
case300,WARM+PRUNE-0.50,3.5022181599396545,3.550423505903028,1.0137642327696126,0.0798983050847457,0.0798983050847457,0.0
case57,WARM+PRUNE-0.50,8.162907966149616,8.142766308233398,0.997532538894259,3.3333333333333335e-05,3.3333333333333335e-05,0.0
case89pegase,WARM+PRUNE-0.50,3.920136439441121,3.923406007112967,1.0008340443559438,0.0405499999999999,0.0405499999999999,0.0
case118,WARM+PRUNE-0.80,1.0531603500493514,1.3015101868001522,1.2358138879223501,0.2091020408163265,0.2042673469387755,-0.004834693877551005
case14,WARM+PRUNE-0.80,1.2952878546354305,1.2822095404850975,0.9899031600554813,0.1546365384615384,0.1546365384615384,0.0
case30,WARM+PRUNE-0.80,1.4534117848385446,1.454705478776659,1.0008901083310384,0.0032094339622641,0.0032094339622641,0.0
case300,WARM+PRUNE-0.80,1.6137616070828509,1.6013203230790647,0.9922905068820692,0.4000745762711865,0.4000745762711865,0.0
case57,WARM+PRUNE-0.80,6.497126508732224,6.435983654847657,0.9905892468305196,0.035005,0.035005,0.0
case89pegase,WARM+PRUNE-0.80,2.430115587870037,2.4249638355508845,0.9978800381574986,0.2853203703703703,0.2853203703703703,0.0
