case_folder,mode,n,runtime_median_sec,runtime_mean_sec,status_ok_rate,strict_feasible_rate
matpower/case118,WARM+LAZY+K128,49,2.2037601470947266,2.4368680010036545,1.0,0.9591836734693877
matpower/case118,WARM+LAZY+K256,49,2.1624951362609863,2.510178429739816,1.0,1.0
matpower/case118,WARM+LAZY+K64,49,3.5416791439056396,3.6574950412828096,1.0,1.0
matpower/case14,WARM+LAZY+K128,52,0.04400002956390375,0.047269234290489744,1.0,1.0
matpower/case14,WARM+LAZY+K64,1,0.0169169902801513,0.0169169902801513,1.0,1.0
matpower/case30,WARM+LAZY+K128,53,0.0840001106262207,0.0849622600483444,1.0,1.0
matpower/case300,WARM+LAZY+K128,59,26.655792236328125,26.51362329014277,1.0,0.6610169491525424
matpower/case300,WARM+LAZY+K256,59,27.420380115509033,27.79710560733989,1.0,0.6610169491525424
matpower/case300,WARM+LAZY+K64,59,26.80817461013794,26.75596060591229,1.0,0.6610169491525424
matpower/case57,WARM+LAZY+K128,60,0.0944999456405639,0.087583315372467,0.7666666666666667,0.7666666666666667
matpower/case89pegase,WARM+LAZY+K128,54,0.9509999752044678,0.9771111011505127,1.0,0.0
