mode,mean_case_speedup,best_case,best_case_speedup,opt_rate_mean,n_cases,interpretation
RAW,1.0,case118,1.0,0.9130885122410546,6,
RAW+COMMIT,1.044893077879277,case89pegase,1.089653137045232,0.9096871516968369,6,Branching guidance alone
RAW+GNN,1.078062500351707,case118,1.281919616019533,0.9130885122410546,6,Raw model with GNN metadata
WARM,1.1390003305091103,case89pegase,1.429802452097736,0.9328625235404897,6,Nearest-neighbor warm start
WARM+HINTS,1.134054100202425,case89pegase,1.414058840516766,0.9272128060263655,6,Warm start plus hints
WARM+HINTS+COMMIT,1.14011951617411,case89pegase,1.4324247036123223,0.9272128060263655,6,Warm start plus commitment guidance
WARM+HINTS+COMMIT+GRU,1.0278050684516815,case300,1.2481973357302156,0.9328625235404897,6,GRU warm-start ablation
WARM+HINTS+GRU,1.0252790897637947,case300,1.239272190186478,0.9328625235404897,6,GRU warm-start ablation
WARM+LAZY,8.5903978301373,case300,17.345634553087407,0.9611111111111111,6,Exact lazy N-1 enforcement
WARM+LAZY+BANDIT,8.614709779776403,case300,17.375842830007688,0.9611111111111111,6,Adaptive lazy cut budget
WARM+LAZY+COMMIT,8.59362496036137,case300,17.390621781007457,0.9611111111111111,6,Lazy with commitment guidance
WARM+LAZY+GRU,8.213334612109254,case300,17.420091058642075,0.9611111111111111,6,Lazy with GRU warm start
WARM+PRUNE-0.10,9.643985517197219,case89pegase,25.83006561160453,0.9611111111111111,6,Conservative screening
WARM+PRUNE-0.10+GNN,9.584479983821792,case89pegase,25.752349440254996,0.9611111111111111,6,Conservative screening + GNN
WARM+PRUNE-0.20,8.6847194416605,case89pegase,21.51286296287107,0.9611111111111111,6,Screening ablation
WARM+PRUNE-0.20+GNN,8.632062355602704,case89pegase,21.176221722834864,0.9611111111111111,6,Screening + GNN ablation
WARM+PRUNE-0.30,6.956630728496769,case89pegase,16.215083618276733,0.9611111111111111,6,Screening ablation
WARM+PRUNE-0.30+GNN,6.904809727241395,case89pegase,16.178337363499082,0.9611111111111111,6,Screening + GNN ablation
WARM+PRUNE-0.50,3.5615481906559183,case57,8.162907966149616,0.9611111111111111,6,Aggressive screening
WARM+PRUNE-0.50+GNN,3.607078431629981,case57,8.142766308233398,0.9611111111111111,6,Aggressive screening + GNN
WARM+PRUNE-0.80,2.3904772822014064,case57,6.497126508732224,0.9498116760828625,6,Very aggressive screening
WARM+PRUNE-0.80+GNN,2.4167821699232523,case57,6.435983654847657,0.9469868173258004,6,Very aggressive screening + GNN
WARM+LAZY+K64,7.792264941333241,case118,11.423395034049083,0.8870056497175142,3,Fixed-K lazy ablation
WARM+LAZY+K128,8.062362908300708,case118,18.35862219308381,0.7311445482147662,6,Fixed-K lazy ablation
WARM+LAZY+K256,12.987171352780113,case118,18.708943787332576,0.8305084745762712,2,Fixed-K lazy ablation
GRBTUNE,0.9995453165956887,case14,1.048391626961633,1.0,3,Gurobi tuning sanity check
