case_folder,mode,case_size,avg_runtime_sec,median_runtime_sec,runs,regime
matpower/case14,ACTIVESET,14,0.37562500000000004,0.35717849999999995,6,small
matpower/case14,ACTIVESET_B500,14,0.3787308333333333,0.33302200000000004,6,small
matpower/case14,ACTIVESET_B5000,14,0.37077766666666667,0.3497395,6,small
matpower/case14,ACTIVESET_LAZY,14,0.36055750000000003,0.3367825,6,small
matpower/case14,ACTIVESET_LAZY_TOPK128,14,0.37214083333333337,0.339389,6,small
matpower/case14,ACTIVESET_NOCLEAN,14,0.37744099999999997,0.3534595,6,small
matpower/case14,LAZY_ALL,14,0.340209,0.2950505,6,small
matpower/case14,LAZY_BANDIT,14,0.3455626666666667,0.3186065,6,small
matpower/case14,LAZY_COMMIT_GNN_T060,14,0.5052116666666667,0.532166,6,small
matpower/case14,LAZY_COMMIT_HINTS,14,0.5025153333333333,0.5409455000000001,6,small
matpower/case14,LAZY_GNN_T060,14,0.34875649999999997,0.324623,6,small
matpower/case14,LAZY_GNN_T080,14,0.3367715,0.29969049999999997,6,small
matpower/case14,LAZY_TOPK128,14,0.34552316666666666,0.318988,6,small
matpower/case14,RAW,14,3.2031396666666665,3.4591564999999997,6,small
matpower/case14,RAW_COMMIT_HINTS,14,2.8497863333333338,2.523484,6,small
matpower/case14,RAW_GNN,14,0.3557305,0.320548,6,small
matpower/case14,SHRINK_LAZY,14,0.35452,0.3471435,6,small
matpower/case14,STREDUCE,14,3.7136611666666663,0.7924685,6,small
matpower/case14,STREDUCE_AGGRESSIVE,14,3.636548833333333,0.7992600000000001,6,small
matpower/case14,STREDUCE_CONSERVATIVE,14,6.856260666666667,1.8379975,6,small
matpower/case14,STREDUCE_GRU,14,3.7134593333333332,0.811912,6,small
matpower/case14,STREDUCE_LAZY,14,3.7805233333333335,0.42821750000000003,6,small
matpower/case14,STREDUCE_LAZY_AGGRESSIVE,14,3.740024833333333,0.388336,6,small
matpower/case14,STREDUCE_LAZY_CONSERVATIVE,14,6.970737500000001,2.2058765,6,small
matpower/case14,STREDUCE_LAZY_GRU,14,3.7711998333333328,0.39578349999999995,6,small
matpower/case14,WARM,14,3.2294823333333333,3.493977,6,small
matpower/case14,WARM_ACTIVESET,14,0.4119021666666667,0.37167700000000004,6,small
matpower/case14,WARM_ACTIVESET_LAZY,14,0.3849801666666666,0.3618825,6,small
matpower/case14,WARM_BRANCH_HINTS,14,3.266061166666667,3.5536965,6,small
matpower/case14,WARM_COMMIT_HINTS,14,3.269670833333333,3.5415455,6,small
matpower/case14,WARM_GRU,14,3.3297361666666667,3.6117055,6,small
matpower/case14,WARM_LAZY,14,0.36595416666666664,0.34271050000000003,6,small
matpower/case14,WARM_LAZY_BANDIT,14,0.3659326666666667,0.323857,6,small
matpower/case14,WARM_LAZY_BRANCH_HINTS,14,0.36514766666666665,0.3384905,6,small
matpower/case14,WARM_LAZY_COMMIT_GNN_T060,14,0.37126349999999997,0.3294745,6,small
matpower/case14,WARM_LAZY_COMMIT_GRU,14,0.3777871666666666,0.3503095,6,small
matpower/case14,WARM_LAZY_COMMIT_HINTS,14,0.36793666666666663,0.34600200000000003,6,small
matpower/case14,WARM_LAZY_GNN_T060,14,0.3695918333333333,0.348349,6,small
matpower/case14,WARM_LAZY_GRU,14,0.3571175,0.31674199999999997,6,small
matpower/case14,WARM_LAZY_ML_STACK,14,0.3833041666666667,0.3594175,6,small
matpower/case14,WARM_LAZY_TOPK128,14,0.3599056666666667,0.32057800000000003,6,small
matpower/case14,WARM_LPSCREEN_LAZY_T010,14,0.4847055,0.4640105,6,small
matpower/case14,WARM_LPSCREEN_LAZY_T020,14,0.4797881666666666,0.435778,6,small
matpower/case14,WARM_LPSCREEN_LAZY_T030,14,0.48839783333333336,0.463264,6,small
matpower/case14,WARM_LPSCREEN_LAZY_T050,14,0.4812376666666667,0.4590995,6,small
matpower/case14,WARM_LPSCREEN_LAZY_T080,14,0.47896933333333336,0.447472,6,small
matpower/case14,WARM_LPSCREEN_T010,14,0.5065115,0.468682,6,small
matpower/case14,WARM_LPSCREEN_T020,14,0.49034266666666665,0.402401,6,small
matpower/case14,WARM_LPSCREEN_T030,14,0.44602783333333335,0.405933,6,small
matpower/case14,WARM_LPSCREEN_T050,14,0.46331300000000003,0.41306849999999995,6,small
matpower/case14,WARM_LPSCREEN_T080,14,0.8095878333333334,0.7460804999999999,6,small
matpower/case14,WARM_PRUNE_LAZY_T010,14,0.37143550000000003,0.330822,6,small
matpower/case14,WARM_PRUNE_LAZY_T020,14,0.36886100000000005,0.31659899999999996,6,small
matpower/case14,WARM_PRUNE_LAZY_T030,14,0.3702001666666666,0.3422085,6,small
matpower/case14,WARM_PRUNE_LAZY_T050,14,0.36060749999999997,0.32288,6,small
matpower/case14,WARM_PRUNE_LAZY_T080,14,0.3675765,0.31275149999999996,6,small
matpower/case14,WARM_PRUNE_T010,14,0.39282516666666667,0.35716349999999997,6,small
matpower/case14,WARM_PRUNE_T020,14,0.3847256666666667,0.31062999999999996,6,small
matpower/case14,WARM_PRUNE_T030,14,0.3875473333333333,0.3272885,6,small
