case_folder,case_label,case_size,mode,rows,feasible,skipped,time_limit_hits,time_limit_sec,runtime_median_sec,runtime_mean_sec,mip_gap_median_pct,mip_gap_mean_pct,failed,feasible_rate,runtime_budget_pct,logs_with_incumbent,progress_points,first_incumbent_time_median_sec,first_incumbent_time_min_sec,time_to_5pct_gap_median_sec,best_log_gap_median_pct,reference_runtime_median_sec,speedup_vs_lazy
matpower/case1354pegase,case1354pegase,1354,ACTIVESET_LAZY,6,0,6,0,1800.0,,,,,0,0.0,,,,,,,,1805.377414,
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,6,6,0,6,1800.0,1805.377414,1805.4458723333335,68.0300945,62.98501566666667,0,1.0,100.29874522222222,6.0,62.0,434.0,317.0,,68.0,1805.377414,1.0
matpower/case1354pegase,case1354pegase,1354,LAZY_BANDIT,6,0,0,1,1800.0,902.5989480000001,992.2679988333333,4.3418395,9.929588333333335,6,0.0,50.144386000000004,6.0,349.0,348.5,325.0,879.138344,4.341531,1805.377414,2.000198890105509
matpower/case1354pegase,case1354pegase,1354,LAZY_COMMIT_HINTS,6,6,0,6,1800.0,1805.291162,1827.8629903333333,76.20751200000001,68.31695116666667,0,1.0,100.29395344444444,6.0,54.0,431.0,315.0,,76.197317,1805.377414,1.000047777334657
matpower/case1354pegase,case1354pegase,1354,LAZY_GNN_T080,6,0,0,6,1800.0,1807.927979,1807.9456050000001,19.695526,21.631555000000002,6,0.0,100.44044327777777,6.0,211.0,345.0,308.0,,19.65,1805.377414,0.9985892330725415
matpower/case1354pegase,case1354pegase,1354,STREDUCE_LAZY_GRU,6,6,0,6,1800.0,1846.4710755,1846.7503033333332,21.5908805,36.89237816666667,0,1.0,102.58172641666667,6.0,52.0,1206.0,1080.0,,21.5820425,1805.377414,0.9777447575295094
matpower/case1354pegase,case1354pegase,1354,WARM_LAZY_GRU,6,6,0,5,1800.0,1835.6368590000002,1922.1509035,41.328286,48.384659666666664,0,1.0,101.9798255,6.0,99.0,694.5,353.0,1770.0,41.328286,1805.377414,0.9835155603617131
matpower/case1354pegase,case1354pegase,1354,WARM_LPSCREEN_T020,6,0,6,0,1800.0,,,,,0,0.0,,,,,,,,1805.377414,
matpower/case1354pegase,case1354pegase,1354,WARM_PRUNE_LAZY_T030,6,2,0,6,1800.0,1840.723179,1840.9110386666669,52.1842015,57.159098666666665,4,0.3333333333333333,102.26239883333334,6.0,85.0,404.5,302.0,,52.15,1805.377414,0.9807978921527993
matpower/case1354pegase,case1354pegase,1354,WARM_SR_LAZY,6,0,6,0,1800.0,,,,,0,0.0,,,,,,,,1805.377414,
matpower/case2383wp,case2383wp,2383,LAZY_ALL,6,6,0,0,3000.0,1070.096802,1078.467394,0.040381,0.10578683333333334,0,1.0,35.6698934,6.0,87.0,580.0,496.0,1062.0,0.038225499999999996,1070.096802,1.0
matpower/case2383wp,case2383wp,2383,LAZY_BANDIT,6,6,0,0,3000.0,1067.1577275,1105.8451803333335,0.052454,0.12697266666666665,0,1.0,35.57192425,6.0,85.0,579.0,536.0,1060.0,0.05,1070.096802,1.0027541144333794
matpower/case2383wp,case2383wp,2383,LAZY_COMMIT_HINTS,6,6,0,0,3000.0,1070.412791,1080.6103655,2.7831495,2.3626251666666667,0,1.0,35.680426366666666,6.0,70.0,579.5,493.0,1062.5,2.7829325,1070.096802,0.999704797062725
matpower/case2383wp,case2383wp,2383,LAZY_GNN_T080,6,6,0,0,3000.0,1078.6946619999999,1082.26873,0.020547999999999997,0.04503933333333334,0,1.0,35.95648873333333,6.0,85.0,574.5,505.0,1067.5,0.0183925,1070.096802,0.9920293848640553
matpower/case2383wp,case2383wp,2383,STREDUCE_LAZY_GRU,6,0,6,0,3000.0,,,,,0,0.0,,,,,,,,1070.096802,
matpower/case2383wp,case2383wp,2383,WARM_LAZY_GRU,6,6,0,0,3000.0,1145.291092,1162.0709231666667,1.7757165,1.9217765,0,1.0,38.17636973333333,6.0,72.0,571.5,494.0,1041.5,1.7757165,1070.096802,0.9343448224427472
matpower/case2383wp,case2383wp,2383,WARM_PRUNE_LAZY_T030,6,1,0,0,3000.0,1106.6914645,1202.3985285,0.012879999999999999,0.7656395000000001,5,0.16666666666666666,36.88971548333333,6.0,48.0,490.5,407.0,937.5,0.011140979245578326,1070.096802,0.9669332748341624
matpower/case3375wp,case3375wp,3375,LAZY_ALL,6,3,0,6,3600.0,3610.5235384999996,3617.6057156666666,86.254041,87.37898333333334,3,0.5,100.29232051388888,3.0,80.0,1644.0,1598.0,,86.254041,3610.5235384999996,1.0
