case_folder,case_label,case_size,mode,time_budget_pct,median_gap_pct,logs_with_incumbent,logs_total
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,0.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,5.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,10.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,15.0,100.0,0,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,20.0,100.0,2,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,25.0,98.53139333202509,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,30.0,98.52212406167335,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,35.0,98.52212406167335,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,40.0,98.52212406167335,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,45.0,98.52212406167335,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,50.0,98.52212406167335,4,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,55.0,98.09789145198562,5,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,60.0,96.56040550696699,5,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,65.0,94.05,5,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,70.0,91.75,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,75.0,91.75,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,80.0,73.05000000000001,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,85.0,73.05000000000001,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,90.0,73.05000000000001,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,95.0,68.45,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_ALL,100.0,68.0,6,6
matpower/case1354pegase,case1354pegase,1354,LAZY_COMMIT_HINTS,0.0,100.0,0,6
