mode,avg_speedup,median_speedup,N_pairs,avg_success,N_rows,method_exactness,family,plot_family,pareto_front,full_success_boundary,family_best,acceptable_pareto_front,speedup_rank,numbered_highlight
ACTIVESET_LAZY,6.69224544278934,3.492933453293669,34.0,1.0,34,exact,ACTIVESET,Active set,False,True,True,False,40,True
LAZY_BANDIT,8.22538297816429,3.6396111018464206,34.0,0.8529411764705882,34,exact,BANDIT,Lazy / hints,False,False,True,False,19,True
LAZY_COMMIT_HINTS,8.34401307637983,3.0596637660001713,34.0,1.0,34,exact,COMMIT,Lazy / hints,True,True,True,True,17,True
LAZY_GNN_T080,8.587320196171978,5.142005200656211,34.0,0.8235294117647058,34,heuristic,GNN,Learning,False,False,True,False,15,True
WARM_LAZY_GRU,7.5298828716904245,3.4713192453618316,34.0,1.0,34,exact,GRU,Learning,False,True,True,False,30,True
LAZY_ALL,8.067564411920756,3.556567326503941,34.0,1.0,34,exact,LAZY,Lazy / hints,False,True,True,False,22,True
WARM_LPSCREEN_T050,8.332717006958578,3.1823665182363294,34.0,0.9411764705882353,34,heuristic,LPSCREEN,LP screen,False,False,True,False,18,True
WARM_PRUNE_LAZY_T080,7.826132764255429,3.76287113670921,34.0,0.9411764705882353,34,heuristic,PRUNE,Pruning,False,False,True,False,23,True
RAW,1.0,1.0,34.0,1.0,34,exact,RAW,RAW / warm,False,True,True,False,60,True
SHRINK_LAZY,21.739841925503992,10.145225020823858,34.0,0.6470588235294118,34,heuristic,SHRINK,Reduction,True,False,True,False,1,True
WARM_SR_LAZY,2.419866185026183,1.5003771742029728,34.0,1.0,34,exact,SR,Reduction,False,True,True,False,54,True
STREDUCE_LAZY_CONSERVATIVE,2.256666211631431,1.1128220673617546,34.0,1.0,34,heuristic,STREDUCE,Reduction,False,True,True,False,55,True
LAZY_TOPK128,8.181876756479118,3.525656134480154,34.0,0.8529411764705882,34,exact,TOPK,Lazy / hints,False,False,True,False,20,True
WARM_BRANCH_HINTS,1.0128067785807529,0.9942477841837428,34.0,1.0,34,exact,WARM,RAW / warm,False,True,True,False,59,True
WARM_LAZY_BRANCH_HINTS,7.510107489846132,3.4856880180190055,34.0,1.0,34,exact,WARM_LAZY,Lazy / hints,False,True,True,False,32,True
