case_folder,mode,fastest_share
matpower/case118,SHRINK_LAZY,0.8333333333333334
matpower/case118,WARM_LPSCREEN_T020,0.16666666666666666
matpower/case1354pegase,LAZY_ALL,0.16666666666666666
matpower/case1354pegase,LAZY_BANDIT,0.8333333333333334
matpower/case14,LAZY_ALL,0.16666666666666666
matpower/case14,RAW_GNN,0.5
matpower/case14,WARM_PRUNE_T050,0.16666666666666666
matpower/case14,WARM_PRUNE_T080,0.16666666666666666
matpower/case2383wp,LAZY_ALL,0.3333333333333333
matpower/case2383wp,LAZY_BANDIT,0.3333333333333333
matpower/case2383wp,LAZY_COMMIT_HINTS,0.16666666666666666
matpower/case2383wp,LAZY_GNN_T080,0.16666666666666666
matpower/case30,RAW_GNN,0.8333333333333334
matpower/case30,SHRINK_LAZY,0.16666666666666666
matpower/case300,STREDUCE_AGGRESSIVE,1.0
matpower/case3375wp,LAZY_ALL,0.3333333333333333
matpower/case3375wp,LAZY_BANDIT,0.5
matpower/case3375wp,LAZY_COMMIT_HINTS,0.16666666666666666
matpower/case57,LAZY_ALL,0.16666666666666666
matpower/case57,SHRINK_LAZY,0.8333333333333334
matpower/case6515rte,LAZY_GNN_T080,1.0
matpower/case89pegase,RAW_GNN,0.8333333333333334
matpower/case89pegase,WARM_PRUNE_T010,0.16666666666666666
