mode,avg_speedup,median_speedup,N_pairs,avg_success,N_rows,method_exactness,family,plot_family,pareto_front,full_success_boundary,family_best,acceptable_pareto_front,speedup_rank,numbered_highlight
LAZY_COMMIT_HINTS,8.34401307637983,3.0596637660001713,34.0,1.0,34,exact,COMMIT,Lazy / hints,True,True,True,True,17,True
WARM_PRUNE_T050,10.520639727521797,4.792312096170332,34.0,0.8823529411764706,34,heuristic,PRUNE,Pruning,True,False,False,False,10,True
WARM_PRUNE_T030,11.656301884738344,8.44223363674307,34.0,0.7941176470588235,34,heuristic,PRUNE,Pruning,True,False,False,False,5,True
WARM_PRUNE_T020,12.278448806026349,8.11294340845982,34.0,0.7647058823529411,34,heuristic,PRUNE,Pruning,True,False,False,False,4,True
SHRINK_LAZY,21.739841925503992,10.145225020823858,34.0,0.6470588235294118,34,heuristic,SHRINK,Reduction,True,False,True,False,1,True
LAZY_ALL,8.067564411920756,3.556567326503941,34.0,1.0,34,exact,LAZY,Lazy / hints,False,True,True,False,22,True
WARM_LAZY_GRU,7.5298828716904245,3.4713192453618316,34.0,1.0,34,exact,GRU,Learning,False,True,True,False,30,True
WARM_LAZY_BRANCH_HINTS,7.510107489846132,3.4856880180190055,34.0,1.0,34,exact,WARM_LAZY,Lazy / hints,False,True,True,False,32,True
WARM_LAZY_COMMIT_HINTS,7.483056470711693,3.5031509942132675,34.0,1.0,34,exact,COMMIT,Lazy / hints,False,True,False,False,33,True
WARM_LAZY,7.4715753882158875,3.4547804938031037,34.0,1.0,34,exact,WARM_LAZY,Lazy / hints,False,True,False,False,35,True
WARM_LAZY_COMMIT_GRU,7.3850821751378914,3.4852637701162466,34.0,1.0,34,exact,GRU,Learning,False,True,False,False,37,True
ACTIVESET_LAZY,6.69224544278934,3.492933453293669,34.0,1.0,34,exact,ACTIVESET,Active set,False,True,True,False,40,True
WARM_ACTIVESET_LAZY,6.423580310754765,3.2859906842968787,34.0,1.0,34,exact,ACTIVESET,Active set,False,True,False,False,41,True
WARM_SR_LAZY,2.419866185026183,1.5003771742029728,34.0,1.0,34,exact,SR,Reduction,False,True,True,False,54,True
STREDUCE_LAZY_CONSERVATIVE,2.256666211631431,1.1128220673617546,34.0,1.0,34,heuristic,STREDUCE,Reduction,False,True,True,False,55,True
RAW_COMMIT_HINTS,1.0872992892730347,1.0095158534512227,34.0,1.0,34,exact,COMMIT,Lazy / hints,False,True,False,False,57,True
WARM_COMMIT_HINTS,1.0458828137394989,0.9928149496924346,34.0,1.0,34,exact,COMMIT,Lazy / hints,False,True,False,False,58,True
WARM_BRANCH_HINTS,1.0128067785807529,0.9942477841837428,34.0,1.0,34,exact,WARM,RAW / warm,False,True,True,False,59,True
RAW,1.0,1.0,34.0,1.0,34,exact,RAW,RAW / warm,False,True,True,False,60,True
WARM,0.9990415274175451,0.992055274201936,34.0,1.0,34,exact,WARM,RAW / warm,False,True,False,False,61,True
