mode,mean_runtime_ratio,std_runtime_ratio,N,success_rate_strict,success_rate_status,method_exactness
ACTIVESET,0.1655472558118454,0.1217722252697715,36,0.5833333333333334,0.9444444444444444,exact
ACTIVESET_B500,0.1669004221322822,0.1257016477277574,36,0.5833333333333334,0.9444444444444444,exact
ACTIVESET_B5000,0.16469322824277863,0.12123916102690907,36,0.5833333333333334,0.9444444444444444,exact
ACTIVESET_LAZY,0.4398682332147852,0.5245187914972046,36,0.8095238095238095,0.8095238095238095,exact
ACTIVESET_LAZY_TOPK128,0.3402875540825663,0.2928049208595829,36,0.8055555555555556,0.9444444444444444,exact
ACTIVESET_NOCLEAN,0.16587702120124123,0.12082644805370468,36,0.5833333333333334,0.9444444444444444,exact
LAZY_ALL,0.3962793749219051,0.4644575367075335,36,0.9166666666666666,0.9666666666666667,exact
LAZY_BANDIT,0.28464201273188094,0.24345613862631985,36,0.6206896551724138,0.9655172413793104,exact
LAZY_COMMIT_GNN_T060,0.29449862738018456,0.23850278984249432,36,0.7777777777777778,0.9444444444444444,heuristic
LAZY_COMMIT_HINTS,0.38720088921303614,0.511079046065123,36,0.9666666666666667,0.9666666666666667,exact
LAZY_GNN_T060,0.28683171481724634,0.2383286228815569,36,0.7777777777777778,0.9444444444444444,heuristic
LAZY_GNN_T080,0.23958887031216566,0.20018442948286372,36,0.6166666666666667,0.9666666666666667,heuristic
LAZY_TOPK128,0.2898266406742158,0.2449203926517762,36,0.8055555555555556,0.9444444444444444,exact
RAW_COMMIT_HINTS,0.9948460716314703,0.22745040969120994,36,0.9444444444444444,0.9444444444444444,exact
RAW_GNN,0.1868976041293761,0.20630312446632765,36,0.5555555555555556,0.9444444444444444,heuristic
SHRINK_LAZY,0.433930606320702,0.5860917096419065,36,0.6111111111111112,0.9444444444444444,heuristic
STREDUCE,0.8525967359057649,0.8436278728063388,36,0.75,0.9166666666666666,heuristic
STREDUCE_AGGRESSIVE,0.8875729975573381,1.1395926338471223,36,0.7222222222222222,0.8888888888888888,heuristic
STREDUCE_CONSERVATIVE,1.0657631057349584,1.0625448587610067,36,0.7777777777777778,0.9444444444444444,heuristic
STREDUCE_GRU,0.8507103811907627,0.8435332647667676,36,0.75,0.9166666666666666,heuristic
STREDUCE_LAZY,0.8550070298562537,0.8621002505573178,36,0.9166666666666666,0.9166666666666666,heuristic
STREDUCE_LAZY_AGGRESSIVE,0.9399247397809796,1.122232213193155,36,0.8888888888888888,0.8888888888888888,heuristic
STREDUCE_LAZY_CONSERVATIVE,1.052398588408834,1.0956055390627668,36,0.9444444444444444,0.9444444444444444,heuristic
STREDUCE_LAZY_GRU,0.8464410443332876,0.8615885211676668,36,0.75,0.75,heuristic
WARM,1.0201660650916096,0.12966486502252447,36,0.9444444444444444,0.9444444444444444,exact
WARM_ACTIVESET,0.17580877824521213,0.12614596462717595,36,0.5833333333333334,0.9444444444444444,exact
WARM_ACTIVESET_LAZY,0.36574914946087983,0.3258651325717132,36,0.9444444444444444,0.9444444444444444,exact
WARM_BRANCH_HINTS,1.0074703864753973,0.12835480194755824,36,0.9444444444444444,0.9444444444444444,exact
WARM_COMMIT_HINTS,0.9933867139453135,0.1605792581667928,36,0.9444444444444444,0.9444444444444444,exact
WARM_GRU,1.0383473880582983,0.1402344015589148,36,0.9444444444444444,0.9444444444444444,exact
WARM_LAZY,0.3948879459484227,0.4831994985906467,36,0.9444444444444444,0.9444444444444444,exact
WARM_LAZY_BANDIT,0.2900695957637429,0.23477539646366202,36,0.8055555555555556,0.9444444444444444,exact
WARM_LAZY_BRANCH_HINTS,0.32966028553545795,0.30120043756038695,36,0.9444444444444444,0.9444444444444444,exact
WARM_LAZY_COMMIT_GNN_T060,0.2939522821900422,0.23411140072828276,36,0.7777777777777778,0.9444444444444444,heuristic
WARM_LAZY_COMMIT_GRU,0.3974533496158517,0.5167643388428814,36,0.9444444444444444,0.9444444444444444,exact
WARM_LAZY_COMMIT_HINTS,0.3966369812035459,0.5161142807680238,36,0.9444444444444444,0.9444444444444444,exact
WARM_LAZY_GNN_T060,0.2940538646298882,0.23338573528043116,36,0.7777777777777778,0.9444444444444444,heuristic
WARM_LAZY_GRU,0.3930805243123369,0.4778063013860554,36,0.95,0.9666666666666667,exact
WARM_LAZY_ML_STACK,0.2901759577705587,0.23037061768126685,36,0.7777777777777778,0.9444444444444444,heuristic
WARM_LAZY_TOPK128,0.29819675265140816,0.24039074826402804,36,0.8055555555555556,0.9444444444444444,exact
WARM_LPSCREEN_LAZY_T010,0.3110508218286575,0.2281076848772735,36,0.7222222222222222,0.9444444444444444,heuristic
WARM_LPSCREEN_LAZY_T020,0.2958505512258702,0.22682751315979277,36,0.7222222222222222,0.9444444444444444,heuristic
WARM_LPSCREEN_LAZY_T030,0.32267900404662175,0.2739402297437474,36,0.8333333333333334,0.9444444444444444,heuristic
WARM_LPSCREEN_LAZY_T050,0.33843138734304185,0.33113242737660026,36,0.8888888888888888,0.9444444444444444,heuristic
WARM_LPSCREEN_LAZY_T080,0.3742759847233864,0.3927322269336431,36,0.8611111111111112,0.9444444444444444,heuristic
WARM_LPSCREEN_T010,0.22682163069835054,0.24457411401015608,36,0.6388888888888888,0.9444444444444444,heuristic
WARM_LPSCREEN_T020,0.2632712206921082,0.2710361370414227,36,0.6428571428571429,0.8095238095238095,heuristic
WARM_LPSCREEN_T030,0.3206128763708771,0.3144554881340907,36,0.8333333333333334,0.9444444444444444,heuristic
WARM_LPSCREEN_T050,0.38302129329117723,0.3197915510938728,36,0.8888888888888888,0.9444444444444444,heuristic
WARM_LPSCREEN_T080,0.5037263700405092,0.35502960825663565,36,0.8888888888888888,0.9444444444444444,heuristic
WARM_PRUNE_LAZY_T010,0.2861982179341881,0.23066934752530097,36,0.7222222222222222,0.9444444444444444,heuristic
WARM_PRUNE_LAZY_T020,0.28210343404902516,0.23003546022660912,36,0.75,0.9444444444444444,heuristic
WARM_PRUNE_LAZY_T030,0.29013595752960253,0.2467409320622893,36,0.5833333333333334,0.9666666666666667,heuristic
WARM_PRUNE_LAZY_T050,0.308551598518102,0.3105482928201823,36,0.8333333333333334,0.9444444444444444,heuristic
WARM_PRUNE_LAZY_T080,0.33425800069697587,0.3574915402098121,36,0.8888888888888888,0.9444444444444444,heuristic
WARM_PRUNE_T010,0.13992791597683574,0.09192240387992744,36,0.6111111111111112,0.9444444444444444,heuristic
WARM_PRUNE_T020,0.14917149317318526,0.10605811033198106,36,0.7222222222222222,0.9444444444444444,heuristic
WARM_PRUNE_T030,0.2042856937207345,0.18408847438200243,36,0.75,0.9444444444444444,heuristic
WARM_PRUNE_T050,0.30025660289297423,0.2541178443476739,36,0.8333333333333334,0.9444444444444444,heuristic
WARM_PRUNE_T080,0.43580104399359487,0.35053112569521333,36,0.8888888888888888,0.9444444444444444,heuristic
WARM_SR_LAZY,0.7125137944716398,0.4267783126952689,36,0.8095238095238095,0.8095238095238095,exact
