mode,method_exactness,N,runtime_median,runtime_IQR,nodes_median,nodes_IQR,obj_ppm_median,obj_ppm_IQR,mem_gb_median,mem_gb_IQR
ACTIVESET,exact,36,15.759827,39.14981125,0.0,1.0,0.0,28696.436691563278,,
ACTIVESET_B500,exact,36,15.607099,39.3405395,0.0,1.0,0.0,28696.436691563278,,
ACTIVESET_B5000,exact,36,15.639560000000001,39.21018125,0.0,1.0,0.0,28696.436691563278,,
ACTIVESET_LAZY,exact,42,34.7210485,97.61119825,0.0,1.0,0.0,1312.3372208380663,,
ACTIVESET_LAZY_TOPK128,exact,36,32.921916499999995,101.09455925,0.0,1.0,0.0,1268.6934207337247,,
ACTIVESET_NOCLEAN,exact,36,15.6405545,39.267029750000006,0.0,1.0,0.0,28696.436691563278,,
LAZY_ALL,exact,60,321.89023299999997,1801.8915397500002,1.0,1.0,0.0,895.1257023310159,,
LAZY_BANDIT,exact,58,103.4447055,1058.3666252500002,1.0,1.0,-0.3231682041081717,5476.599455436599,,
LAZY_COMMIT_GNN_T060,heuristic,36,31.808091,93.15293,0.0,1.0,0.0,5752.656933563187,,
LAZY_COMMIT_HINTS,exact,60,256.138896,1802.3772874999997,1.0,1.0,0.0,2797.944027073188,,
LAZY_GNN_T060,heuristic,36,32.488581,93.961131,0.0,1.0,-0.3231682041081717,5752.656933563187,,
LAZY_GNN_T080,heuristic,60,109.00865,1804.4579435,1.0,1.0,-0.3231682041081717,5752.656933563187,,
LAZY_TOPK128,exact,36,31.0108935,97.4964725,0.0,1.0,0.0,3696.319700806073,,
RAW,exact,36,113.4522445,243.55811325,1.0,1.0,0.0,0.0,,
RAW_COMMIT_HINTS,exact,36,113.136514,213.04029325,1.0,1.0,275.13543860683467,4048.509368358892,,
RAW_GNN,heuristic,36,13.273958,38.52635,0.0,0.0,0.0,66631.83442721926,,
SHRINK_LAZY,heuristic,36,8.314907,299.75679425,0.0,3.0,4038.6438201336814,10742.13298699043,,
STREDUCE,heuristic,36,98.19542799999999,200.7107455,0.0,1.0,1485.0624884525976,10170.841983210943,,
STREDUCE_AGGRESSIVE,heuristic,36,60.791264999999996,174.4700875,0.0,1.0,2032.1335304035827,9858.653331151341,,
STREDUCE_CONSERVATIVE,heuristic,36,107.60713000000001,234.1905255,1.0,1.0,0.0,14877.551657626753,,
