case_folder,instance_name,mode,runtime_speedup,runtime_ratio,runtime_delta,nodes_delta,mem_delta_gb,root_constr_ratio,final_to_root_ratio,obj_ppm_vs_raw,feasible_ok,violations,status,mip_gap,warm_start_applied_vars,branch_hints_applied
matpower/case118,matpower/case118/2017-01-15,RAW_GNN,9.034612650309978,0.1106854315404092,-198.119166,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,RAW_COMMIT_HINTS,1.0142397099154672,0.9859602125846029,-3.1277469999999994,0.0,,1.0,1.0,-3.347140534580457,OK,OK,OPTIMAL,2.136e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM,0.9415946331736691,1.0620281432886614,13.818466999999998,0.0,,1.0,1.0,-3.347140534580457,OK,OK,OPTIMAL,1.205e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_BRANCH_HINTS,0.9103832161443943,1.0984385281564677,21.929877000000005,0.0,,1.0,1.0,36605.852365664774,OK,OK,OPTIMAL,0.03533701,49068.0,1944.0
matpower/case118,matpower/case118/2017-01-15,WARM_COMMIT_HINTS,0.9281104808266751,1.077457932712162,17.255875000000003,0.0,,1.0,1.0,-3.347140534580457,OK,OK,OPTIMAL,2.136e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_GRU,0.9199686139913282,1.0869936047725062,19.380206999999984,0.0,,1.0,1.0,-3.347140534580457,OK,OK,OPTIMAL,1.205e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_ALL,2.480461802002682,0.40315073555763575,-132.964513,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_TOPK128,3.0628912414288596,0.3264889025355968,-150.043035,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_BANDIT,3.3844071062812815,0.29547272789495466,-156.952737,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_COMMIT_HINTS,2.507358527792469,0.3988260908504461,-133.92794600000002,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_GNN_T060,2.5253805949704886,0.3959799176375971,-134.562009,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_GNN_T080,2.4810108611266046,0.4030615164441114,-132.98438900000002,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,LAZY_COMMIT_GNN_T060,2.4946988816063085,0.40084998128355726,-133.477069,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,0.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_TOPK128,3.015221498698593,0.33165059364017285,-148.893127,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_BANDIT,3.3156055834872262,0.30160402822950927,-155.58682199999998,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_COMMIT_HINTS,2.538030039177697,0.39400636894116214,-135.001671,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_GRU,2.519896889102124,0.3968416344036658,-134.37003800000002,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_BRANCH_HINTS,2.522701278019506,0.3964004809895957,-134.468317,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,1944.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_GNN_T060,2.509891769190798,0.39842355446362737,-134.01762200000002,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_COMMIT_GNN_T060,2.5084547168315026,0.39865180475058654,-133.966773,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_COMMIT_GRU,2.522243036614404,0.3964724990745918,-134.452273,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LAZY_ML_STACK,3.325451590837875,0.300711038090331,-155.78576,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,1944.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_T010,8.487792853352735,0.11781625886463444,-196.530579,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_T020,8.554742123980326,0.1168942307678496,-196.735986,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_T030,8.572194034616942,0.11665624879251651,-196.789003,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_T050,3.097533895717967,0.32283746802009194,-150.856492,-1.0,,0.03719519047083942,1.0,50531.07308524192,OK,OK,OPTIMAL,0.04812402,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_T080,1.166436989282497,0.8573116329370896,-31.787740000000014,0.0,,0.16417575008427912,1.0,0.0,OK,OK,OPTIMAL,2.459e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LPSCREEN_T010,7.892623626077254,0.12670058112184607,-194.551353,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LPSCREEN_T020,7.959919379409106,0.12562941310521586,-194.789985,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LPSCREEN_T030,7.90856711178766,0.1264451557235327,-194.608256,-1.0,,0.028609956174851108,1.0,43195.53309393342,OK,OK,OPTIMAL,0.04143062,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LPSCREEN_T050,6.764944735447249,0.14782086759115073,-189.846231,-1.0,,0.02941903584672435,1.0,49859.09146138671,OK,OK,OPTIMAL,0.04751475,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_LPSCREEN_T080,1.1529912588072921,0.8673092639353109,-29.560494000000006,0.0,,0.13325092707045735,1.0,0.0,OK,OK,OPTIMAL,2.459e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_LAZY_T010,2.4127679404237927,0.41446174049558787,-130.444677,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_LAZY_T020,2.5041436489395195,0.3993381132202581,-133.813879,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_LAZY_T030,2.4960232228128856,0.4006372981069676,-133.52445,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
matpower/case118,matpower/case118/2017-01-15,WARM_PRUNE_LAZY_T050,4.871412290400031,0.2052792784488134,-177.045797,-1.0,,0.028609956174851108,1.0,0.0,OK,OK,OPTIMAL,2.47e-05,49068.0,0.0
