case_folder,instance_name,mode_a,mode_b,speedup_a_over_b,delta_runtime,delta_nodes
matpower/case118,matpower/case118/2017-01-15,RAW,RAW_GNN,0.1106854315404092,198.119166,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,RAW_COMMIT_HINTS,0.9859602125846029,3.1277469999999994,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM,1.0620281432886614,-13.818466999999998,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_BRANCH_HINTS,1.0984385281564677,-21.929877000000005,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_COMMIT_HINTS,1.077457932712162,-17.255875000000003,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_GRU,1.0869936047725062,-19.380206999999984,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_ALL,0.40315073555763575,132.964513,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_TOPK128,0.3264889025355968,150.043035,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_BANDIT,0.29547272789495466,156.952737,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_COMMIT_HINTS,0.3988260908504461,133.92794600000002,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_GNN_T060,0.3959799176375971,134.562009,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_GNN_T080,0.4030615164441114,132.98438900000002,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_COMMIT_GNN_T060,0.40084998128355726,133.477069,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_TOPK128,0.33165059364017285,148.893127,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_BANDIT,0.30160402822950927,155.58682199999998,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_COMMIT_HINTS,0.39400636894116214,135.001671,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_GRU,0.3968416344036658,134.37003800000002,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_BRANCH_HINTS,0.3964004809895957,134.468317,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_GNN_T060,0.39842355446362737,134.01762200000002,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_COMMIT_GNN_T060,0.39865180475058654,133.966773,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_COMMIT_GRU,0.3964724990745918,134.452273,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_ML_STACK,0.300711038090331,155.78576,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_T010,0.11781625886463444,196.530579,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_T020,0.1168942307678496,196.735986,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_T030,0.11665624879251651,196.789003,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_T050,0.32283746802009194,150.856492,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_T080,0.8573116329370896,31.787740000000014,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_T010,0.12670058112184607,194.551353,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_T020,0.12562941310521586,194.789985,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_T030,0.1264451557235327,194.608256,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_T050,0.14782086759115073,189.846231,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_T080,0.8673092639353109,29.560494000000006,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_LAZY_T010,0.41446174049558787,130.444677,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_LAZY_T020,0.3993381132202581,133.813879,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_LAZY_T030,0.4006372981069676,133.52445,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_LAZY_T050,0.2052792784488134,177.045797,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_PRUNE_LAZY_T080,0.2416757166580506,168.93749400000002,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_LAZY_T010,0.4083186436310301,131.81322,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_LAZY_T020,0.4058721788697251,132.358237,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_LAZY_T030,0.40751949156632494,131.991253,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_LAZY_T050,0.20990062294296888,176.016266,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LPSCREEN_LAZY_T080,0.2967292468693051,156.67281300000002,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_SR_LAZY,1.0528505102780275,-11.773898000000003,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,SHRINK_LAZY,0.07120716333421577,206.914031,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE,0.9815999403817378,4.099117000000007,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_CONSERVATIVE,1.0311885395400295,-6.948101000000008,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_AGGRESSIVE,0.9773700135511068,5.041449,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_GRU,0.9835538820602681,3.663823000000008,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_LAZY,1.0636577926117596,-14.181515999999988,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_LAZY_CONSERVATIVE,1.043957654838344,-9.792770999999988,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_LAZY_AGGRESSIVE,0.9904033343134447,2.1379200000000083,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,STREDUCE_LAZY_GRU,1.0474499259745298,-10.57077000000001,0.0
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY,0.3952475631995953,134.725161,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,ACTIVESET,0.12842897925146582,194.166305,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,ACTIVESET_B500,0.1268855864430327,194.510138,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,ACTIVESET_B5000,0.12733408800003101,194.410222,1.0
matpower/case118,matpower/case118/2017-01-15,RAW,ACTIVESET_NOCLEAN,0.12712923326648753,194.455859,1.0
