case_folder,instance_name,reference_mode,mode,runtime_speedup_vs_reference,runtime_delta_vs_reference,status,feasible_ok,violations,mip_gap
matpower/case118,matpower/case118/2017-01-15,RAW,RAW,1.0,0.0,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,RAW_GNN,9.034612650309978,-198.119166,OPTIMAL,OK,OK,0.04143062
matpower/case118,matpower/case118/2017-01-15,RAW,RAW_COMMIT_HINTS,1.0142397099154672,-3.1277469999999994,OPTIMAL,OK,OK,2.136e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM,0.9415946331736691,13.818466999999998,OPTIMAL,OK,OK,1.205e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_BRANCH_HINTS,0.9103832161443943,21.929877000000005,OPTIMAL,OK,OK,0.03533701
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_COMMIT_HINTS,0.9281104808266751,17.255875000000003,OPTIMAL,OK,OK,2.136e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_GRU,0.9199686139913282,19.380206999999984,OPTIMAL,OK,OK,1.205e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_ALL,2.480461802002682,-132.964513,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_TOPK128,3.0628912414288596,-150.043035,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_BANDIT,3.3844071062812815,-156.952737,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_COMMIT_HINTS,2.507358527792469,-133.92794600000002,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_GNN_T060,2.5253805949704886,-134.562009,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_GNN_T080,2.4810108611266046,-132.98438900000002,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,LAZY_COMMIT_GNN_T060,2.4946988816063085,-133.477069,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_TOPK128,3.015221498698593,-148.893127,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_BANDIT,3.3156055834872262,-155.58682199999998,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_COMMIT_HINTS,2.538030039177697,-135.001671,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_GRU,2.519896889102124,-134.37003800000002,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_BRANCH_HINTS,2.522701278019506,-134.468317,OPTIMAL,OK,OK,2.47e-05
matpower/case118,matpower/case118/2017-01-15,RAW,WARM_LAZY_GNN_T060,2.509891769190798,-134.01762200000002,OPTIMAL,OK,OK,2.47e-05
