case_folder,mode,n,initial_constraints_mean,kept_constraints_mean,kept_ratio_mean,reduction_ratio_mean
matpower/case118,WARM+LPSCREEN-0.10,1,1555992.0,0.0,0.0,1.0
matpower/case118,WARM+LPSCREEN-0.20,1,1555992.0,72.0,0.0,1.0
matpower/case118,WARM+LPSCREEN-0.30,1,1555992.0,72.0,0.0,1.0
matpower/case118,WARM+PRUNE-0.10,49,1555992.0,1025.6326530612246,0.0006489795918367347,0.9993510204081634
matpower/case118,WARM+PRUNE-0.10+GNN,49,1555992.0,1024.1632653061224,0.0006489795918367347,0.9993510204081634
matpower/case118,WARM+PRUNE-0.20,49,1555992.0,1548.734693877551,0.0009775510204081633,0.9990224489795919
matpower/case118,WARM+PRUNE-0.20+GNN,49,1555992.0,1547.265306122449,0.0009775510204081633,0.9990224489795919
matpower/case118,WARM+PRUNE-0.30,49,1555992.0,3973.2244897959185,0.002546938775510204,0.9974530612244897
matpower/case118,WARM+PRUNE-0.30+GNN,49,1555992.0,3961.469387755102,0.0025387755102040817,0.9974612244897959
matpower/case118,WARM+PRUNE-0.50,49,1555992.0,39851.26530612245,0.02562040816326531,0.9743795918367346
matpower/case118,WARM+PRUNE-0.50+GNN,49,1555992.0,38378.93877551021,0.024673469387755102,0.9753265306122448
matpower/case118,WARM+PRUNE-0.70,9,1555992.0,131096.0,0.08425555555555556,0.9157444444444445
matpower/case118,WARM+PRUNE-0.70+GNN,9,1555992.0,131096.0,0.08425555555555556,0.9157444444444445
matpower/case118,WARM+PRUNE-0.80,49,1555992.0,325348.89795918367,0.20910204081632655,0.7908979591836734
matpower/case118,WARM+PRUNE-0.80+GNN,49,1555992.0,317827.10204081633,0.20426734693877552,0.7957326530612244
matpower/case14,WARM+PRUNE-0.10,52,24624.0,0.0,0.0,1.0
matpower/case14,WARM+PRUNE-0.10+GNN,52,24624.0,0.0,0.0,1.0
matpower/case14,WARM+PRUNE-0.20,52,24624.0,33.23076923076923,0.0013384615384615384,0.9986615384615386
matpower/case14,WARM+PRUNE-0.20+GNN,52,24624.0,33.23076923076923,0.0013384615384615384,0.9986615384615386
matpower/case14,WARM+PRUNE-0.30,52,24624.0,88.61538461538461,0.003569230769230769,0.9964307692307692
matpower/case14,WARM+PRUNE-0.30+GNN,52,24624.0,88.61538461538461,0.003569230769230769,0.9964307692307692
matpower/case14,WARM+PRUNE-0.50,52,24624.0,828.0,0.03364423076923077,0.9663557692307693
matpower/case14,WARM+PRUNE-0.50+GNN,52,24624.0,828.0,0.03364423076923077,0.9663557692307693
