case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case118,RAW,49,1.0,1.0,1.0,1.0,1.0,1.0,40.45799994468689,1.0,0.0,
matpower/case118,RAW+COMMIT,49,1.0052303034273407,1.0088161639293316,0.9553927923934636,1.0431399226857685,1.0024452345479873,1.0136690188128394,40.34599995613098,0.9795918367346939,0.0,1.044893077879277
matpower/case118,RAW+GNN,49,1.281919616019533,1.003483353406765,0.9963944623138227,1.8396838826853767,0.9966413402657066,1.012671597306465,41.00799989700317,1.0,0.0,1.078062500351707
matpower/case118,WARM,49,1.0290329046749547,1.0085296054715596,1.004802113498163,1.0613267119367118,1.0012309103374406,1.0173680181470288,40.65499997138977,1.0,0.0,1.1390003305091103
matpower/case118,WARM+HINTS,49,1.0213995585653295,1.0071161624763432,0.9922833233985145,1.0518245187530015,0.9983006437070927,1.014595208173518,40.53999996185303,1.0,0.0,1.1340541002024251
matpower/case118,WARM+HINTS+COMMIT,49,1.017363210710178,1.0085176892145187,0.9812635954307977,1.054994132943891,1.0012862447162574,1.0151815673916984,41.07200002670288,1.0,0.0,1.14011951617411
matpower/case118,WARM+HINTS+COMMIT+GRU,49,1.0264162895127966,1.0103544404979803,0.9910310404051288,1.0669511517767876,1.0000856855070732,1.0227143021872769,40.54299998283386,1.0,0.0,1.0278050684516817
matpower/case118,WARM+HINTS+GRU,49,1.0215317524185445,1.0075454528244923,0.9896940325959873,1.0565033136709283,1.0009465878288075,1.015283473761839,40.23600006103516,1.0,0.0,1.0252790897637947
matpower/case118,WARM+LAZY,49,9.04012928571006,9.021591235953062,8.587673621471728,9.52654899958348,8.491256113624065,9.375960151777205,4.38100004196167,1.0,0.0,8.590397830137299
matpower/case118,WARM+LAZY+BANDIT,49,9.030010062823365,8.986167961170802,8.62205722240923,9.47040571352615,8.595658212288571,9.357295930541312,4.4049999713897705,1.0,0.0,8.614709779776403
matpower/case118,WARM+LAZY+COMMIT,49,8.889731782740128,9.022159166791885,8.499508061297387,9.31209109392113,8.415548355557233,9.282842745387228,4.508000135421753,1.0,0.0,8.59362496036137
matpower/case118,WARM+LAZY+GRU,49,9.004720253697085,9.09204515639852,8.582058653767906,9.463088774547462,8.513882220988128,9.423825405180043,4.413000106811523,1.0,0.0,8.213334612109252
